"PCA","PCD","PCS","live","terminated","total"
"AB",40,176,16898,21522,38420
"AL",10,39,7715,3448,11163
"B",79,266,41441,18895,60336
"BA",19,81,14957,4524,19481
"BB",15,79,13094,5457,18551
"BD",27,110,16916,5999,22915
"BH",26,102,15152,6633,21785
"BL",12,53,10302,3461,13763
"BN",36,141,22005,12261,34266
"BR",8,38,6882,3505,10387
"BS",46,204,26586,17879,44465
"BT",81,254,47923,10732,58655
"CA",30,85,12499,3459,15958
"CB",16,85,10332,8430,18762
"CF",45,200,23192,18560,41752
"CH",37,213,18661,5135,23796
"CM",28,104,17609,8919,26528
"CO",16,75,12981,4562,17543
"CR",11,66,8009,6165,14174
"CT",22,82,14714,4578,19292
"CV",24,106,19882,7576,27458
"CW",13,52,9275,4225,13500
"DA",18,59,8954,3581,12535
"DD",11,52,8893,2224,11117
"DE",25,128,16895,12594,29489
"DG",15,42,6811,854,7665
"DH",12,47,8909,2392,11301
"DL",18,68,13176,3240,16416
"DN",33,116,21493,5881,27374
"DT",11,39,7741,1780,9521
"DY",14,59,10981,3230,14211
"E",22,107,16265,10865,27130
"EC",30,140,3898,8542,12440
"EH",57,167,24150,7443,31593
"EN",11,47,8494,4274,12768
"EX",33,129,21992,5959,27951
"FK",21,49,7677,1817,9494
"FY",9,41,7247,2620,9867
"G",56,236,31536,14455,45991
"GL",27,118,20722,7241,27963
"GU",40,145,21955,12886,34841
"HA",10,58,10296,6868,17164
"HD",9,42,7084,3509,10593
"HG",5,25,4379,1829,6208
"HP",24,78,13832,7437,21269
"HR",9,33,6308,1472,7780
"HS",9,11,961,117,1078
"HU",20,69,10849,4137,14986
"HX",7,32,5648,1641,7289
"IG",11,35,5915,3876,9791
"IP",34,115,20797,5568,26365
"IV",53,84,7227,3289,10516
"KA",30,86,11562,2402,13964
"KT",24,91,14255,7741,21996
"KW",16,22,1827,258,2085
"KY",17,75,10014,2906,12920
"L",66,582,20389,22355,42744
"LA",23,66,11761,2717,14478
"LD",8,16,2206,343,2549
"LE",27,151,22048,11799,33847
"LL",67,150,20093,3771,23864
"LN",13,49,9065,2674,11739
"LS",32,150,21439,9766,31205
"LU",8,36,6218,3880,10098
"M",48,288,31535,25953,57488
"ME",21,83,16108,5374,21482
"MK",28,109,15085,6927,22012
"ML",12,54,9565,1955,11520
"N",25,112,17543,10820,28363
"NE",67,230,32948,11242,44190
"NG",32,166,28606,8008,36614
"NN",20,101,16112,8139,24251
"NP",25,142,13591,16466,30057
"NR",36,114,23138,4554,27692
"NW",13,83,14173,10838,25011
"OL",17,69,13023,4458,17481
"OX",28,146,19306,14699,34005
"PA",78,116,9284,3469,12753
"PE",39,161,26104,12092,38196
"PH",43,61,6031,1239,7270
"PL",36,99,17322,4619,21941
"PO",34,131,23906,8337,32243
"PR",13,83,12860,6601,19461
"RG",35,183,22781,22056,44837
"RH",21,88,15890,7578,23468
"RM",21,71,9813,4988,14801
"S",54,248,33210,15104,48314
"SA",53,152,23121,5820,28941
"SE",30,129,20495,12480,32975
"SG",19,65,11726,4689,16415
"SK",19,113,16291,8141,24432
"SL",12,58,10715,5631,16346
"SM",7,29,4372,2116,6488
"SN",21,109,14279,6537,20816
"SO",31,179,18160,21232,39392
"SP",11,47,8459,2608,11067
"SR",11,41,6537,1993,8530
"SS",19,80,11806,5129,16935
"ST",22,90,17479,4795,22274
"SW",29,139,20357,15128,35485
"SY",26,86,14264,2620,16884
"TA",24,67,11576,2775,14351
"TD",15,35,4458,708,5166
"TF",13,42,6860,2145,9005
"TN",40,127,22478,9329,31807
"TQ",14,50,9913,3042,12955
"TR",28,68,11867,3034,14901
"TS",30,103,17284,5274,22558
"TW",20,79,11119,8528,19647
"UB",12,40,7085,4222,11307
"W",34,216,19111,20181,39292
"WA",18,97,18025,7052,25077
"WC",15,45,2719,4643,7362
"WD",14,70,7317,8343,15660
"WF",18,75,14232,3651,17883
"WN",8,35,7062,1909,8971
"WR",17,50,8517,3636,12153
"WS",15,67,9978,4630,14608
"WV",18,61,10352,3657,14009
"YO",37,161,18282,15347,33629
"ZE",3,4,647,94,741
"TOTAL UK",3075,12203,1743864,834793,2578657
